世代,個体No,実値,適応度, 係数0, 係数1
511,78,1.933,19.335,-0.07,0.25
512,50,0.258,2.580,1.31,0.12
513,73,1.175,11.754,-0.53,-0.74
514,96,0.574,5.738,0.26,-1.17
515,26,1.786,17.864,-0.26,-0.38
516,21,0.000,0.004,-1.20,0.74
517,20,1.073,10.734,-0.95,0.14
518,79,1.470,14.698,0.52,-0.51
519,79,1.550,15.502,-0.21,0.64
520,98,1.906,19.062,-0.00,-0.31
521,23,0.597,5.969,0.35,1.13
522,70,1.515,15.148,-0.23,-0.66
523,5,1.949,19.494,-0.01,0.22
524,91,1.975,19.750,-0.12,0.11
525,8,0.720,7.197,-0.68,0.91
526,71,1.716,17.159,0.51,0.15
527,93,1.268,12.682,0.75,0.40
528,6,1.488,14.878,-0.72,-0.03
529,21,1.774,17.742,-0.27,0.39
530,70,1.055,10.546,0.53,-0.81
531,33,0.127,1.266,-0.17,1.36
532,96,1.875,18.753,0.25,-0.25
533,28,0.311,3.112,-1.30,0.02
534,7,1.332,13.317,-0.03,-0.82
535,47,-0.514,-5.137,-1.54,0.36
536,40,1.114,11.137,-0.83,-0.44
537,87,1.156,11.558,-0.89,-0.22
538,43,1.782,17.818,0.12,0.45
539,59,1.777,17.774,0.34,0.33
540,71,1.780,17.805,0.17,0.44
541,15,0.810,8.096,1.00,-0.44
542,17,0.907,9.072,-0.92,0.50
543,65,1.102,11.024,-0.91,-0.27
544,72,0.959,9.589,1.01,-0.14
545,25,1.053,10.531,0.95,0.21
546,33,0.509,5.091,0.96,-0.75
547,20,0.749,7.491,-0.38,-1.05
548,1,0.500,5.004,1.16,-0.40
549,58,1.456,14.563,-0.04,-0.74
550,95,1.571,15.713,0.61,0.22
551,51,1.457,14.566,0.43,-0.60
552,13,1.121,11.208,-0.52,0.78
553,45,0.554,5.538,0.71,0.97
554,49,1.581,15.814,0.43,0.48
555,7,1.328,13.284,-0.82,-0.05
556,58,1.920,19.196,-0.26,0.10
557,18,1.743,17.430,-0.12,-0.49
558,90,1.529,15.294,0.57,-0.38
559,14,1.869,18.689,0.34,-0.13
560,15,1.650,16.505,-0.47,-0.36
561,91,1.765,17.650,-0.00,0.48
562,14,1.868,18.682,-0.36,0.05
563,20,1.350,13.504,0.80,-0.06
564,48,1.541,15.410,-0.68,-0.04
565,72,1.525,15.247,-0.69,0.03
566,79,-0.555,-5.552,-0.17,1.59
567,30,1.089,10.890,-0.02,-0.95
568,13,1.220,12.200,0.44,-0.77
569,71,1.815,18.148,-0.41,0.14
570,13,1.583,15.825,-0.64,-0.09
571,61,1.056,10.557,-0.33,-0.91
572,11,1.528,15.281,-0.69,-0.02
573,69,1.310,13.104,-0.65,0.51
574,16,0.863,8.629,0.37,-1.00
575,71,0.462,4.622,0.86,0.89
576,67,0.997,9.974,-0.02,1.00
577,1,1.548,15.480,0.67,0.09
578,36,1.808,18.077,-0.18,-0.40
579,43,1.913,19.127,-0.26,0.15
580,56,0.064,0.645,1.02,-0.94
581,31,0.595,5.951,0.45,-1.10
582,53,1.786,17.855,-0.28,-0.37
583,70,1.644,16.444,0.10,-0.59
584,15,1.365,13.649,-0.35,-0.72
585,42,1.332,13.324,-0.72,-0.38
586,43,1.901,19.006,0.13,0.29
587,87,-0.672,-6.718,1.18,-1.13
588,70,1.244,12.442,-0.82,0.28
589,46,1.407,14.070,-0.75,-0.19
590,17,1.564,15.643,0.32,-0.58
591,8,1.076,10.758,0.10,0.96
592,57,0.213,2.125,0.32,-1.30
593,27,1.359,13.593,-0.01,0.80
594,62,-1.894,-18.943,1.87,-0.62
595,99,1.782,17.818,-0.26,0.39
596,26,1.736,17.356,-0.45,0.24
597,85,0.957,9.569,-0.80,0.64
598,38,-0.746,-7.458,0.81,-1.44
599,45,1.797,17.968,-0.43,-0.13
600,91,1.557,15.572,-0.43,-0.51
601,11,1.434,14.337,-0.47,-0.59
602,24,1.370,13.696,0.79,-0.02
